KILOGRAMS 	 POUNDS 	 | 	 POUNDS 	 KILOGRAMS
1                    2.2 	 |                  20                9.09
3                    6.6 	 |                  25               11.36
5                   11.0 	 |                  30               13.64
7                   15.4 	 |                  35               15.91
9                   19.8 	 |                  40               18.18
11                  24.2 	 |                  45               20.45
13                  28.6 	 |                  50               22.73
15                  33.0 	 |                  55               25.00
17                  37.4 	 |                  60               27.27
19                  41.8 	 |                  65               29.55
21                  46.2 	 |                  70               31.82
23                  50.6 	 |                  75               34.09
25                  55.0 	 |                  80               36.36
27                  59.4 	 |                  85               38.64
29                  63.8 	 |                  90               40.91
31                  68.2 	 |                  95               43.18
33                  72.6 	 |                 100               45.45
35                  77.0 	 |                 105               47.73
37                  81.4 	 |                 110               50.00
39                  85.8 	 |                 115               52.27
41                  90.2 	 |                 120               54.55
43                  94.6 	 |                 125               56.82
45                  99.0 	 |                 130               59.09
47                 103.4 	 |                 135               61.36
49                 107.8 	 |                 140               63.64
51                 112.2 	 |                 145               65.91
53                 116.6 	 |                 150               68.18
55                 121.0 	 |                 155               70.45
57                 125.4 	 |                 160               72.73
59                 129.8 	 |                 165               75.00
61                 134.2 	 |                 170               77.27
63                 138.6 	 |                 175               79.55
65                 143.0 	 |                 180               81.82
67                 147.4 	 |                 185               84.09
69                 151.8 	 |                 190               86.36
71                 156.2 	 |                 195               88.64
73                 160.6 	 |                 200               90.91
75                 165.0 	 |                 205               93.18
77                 169.4 	 |                 210               95.45
79                 173.8 	 |                 215               97.73
81                 178.2 	 |                 220              100.00
83                 182.6 	 |                 225              102.27
85                 187.0 	 |                 230              104.55
87                 191.4 	 |                 235              106.82
89                 195.8 	 |                 240              109.09
91                 200.2 	 |                 245              111.36
93                 204.6 	 |                 250              113.64
95                 209.0 	 |                 255              115.91
97                 213.4 	 |                 260              118.18
99                 217.8 	 |                 265              120.45
101                222.2 	 |                 270              122.73
103                226.6 	 |                 275              125.00
105                231.0 	 |                 280              127.27
107                235.4 	 |                 285              129.55
109                239.8 	 |                 290              131.82
111                244.2 	 |                 295              134.09
113                248.6 	 |                 300              136.36
115                253.0 	 |                 305              138.64
117                257.4 	 |                 310              140.91
119                261.8 	 |                 315              143.18
121                266.2 	 |                 320              145.45
123                270.6 	 |                 325              147.73
125                275.0 	 |                 330              150.00
127                279.4 	 |                 335              152.27
129                283.8 	 |                 340              154.55
131                288.2 	 |                 345              156.82
133                292.6 	 |                 350              159.09
135                297.0 	 |                 355              161.36
137                301.4 	 |                 360              163.64
139                305.8 	 |                 365              165.91
141                310.2 	 |                 370              168.18
143                314.6 	 |                 375              170.45
145                319.0 	 |                 380              172.73
147                323.4 	 |                 385              175.00
149                327.8 	 |                 390              177.27
151                332.2 	 |                 395              179.55
153                336.6 	 |                 400              181.82
155                341.0 	 |                 405              184.09
157                345.4 	 |                 410              186.36
159                349.8 	 |                 415              188.64
161                354.2 	 |                 420              190.91
163                358.6 	 |                 425              193.18
165                363.0 	 |                 430              195.45
167                367.4 	 |                 435              197.73
169                371.8 	 |                 440              200.00
171                376.2 	 |                 445              202.27
173                380.6 	 |                 450              204.55
175                385.0 	 |                 455              206.82
177                389.4 	 |                 460              209.09
179                393.8 	 |                 465              211.36
181                398.2 	 |                 470              213.64
183                402.6 	 |                 475              215.91
185                407.0 	 |                 480              218.18
187                411.4 	 |                 485              220.45
189                415.8 	 |                 490              222.73
191                420.2 	 |                 495              225.00
193                424.6 	 |                 500              227.27
195                429.0 	 |                 505              229.55
197                433.4 	 |                 510              231.82
199                437.8 	 |                 515              234.09
