degree 	   sin 		 cos
0         0.0000         1.0000
10        -0.5440        -0.8391
20         0.9129         0.4081
30        -0.9880         0.1543
40         0.7451        -0.6669
50        -0.2624         0.9650
60        -0.3048        -0.9524
70         0.7739         0.6333
80        -0.9939        -0.1104
90         0.8940        -0.4481
100        -0.5064         0.8623
110        -0.0442        -0.9990
120         0.5806         0.8142
130        -0.9301        -0.3673
140         0.9802        -0.1978
150        -0.7149         0.6993
160         0.2194        -0.9756
170         0.3466         0.9380
180        -0.8012        -0.5985
190         0.9978         0.0663
200        -0.8733         0.4872
210         0.4677        -0.8839
220         0.0884         0.9961
230        -0.6161        -0.7877
240         0.9454         0.3258
250        -0.9705         0.2410
260         0.6832        -0.7302
270        -0.1760         0.9844
280        -0.3878        -0.9217
290         0.8268         0.5624
300        -0.9998        -0.0221
310         0.8509        -0.5253
320        -0.4282         0.9037
330        -0.1324        -0.9912
340         0.6503         0.7597
350        -0.9589        -0.2836
360         0.9589        -0.2837
